
11565
11565
T652 PH0.39 LV0.00 AV0.00 CU-138.00 FA0 FB0 PS484
T657 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS478
T661 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS478
T665 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS482
T669 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS484
T674 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS482
T678 PH0.39 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS478
T683 PH0.39 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS480
T687 PH0.39 LV0.00 AV0.00 CU-132.00 FA0 FB0 PS486
T691 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS484
T696 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS478
T700 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS477
T704 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS480
T708 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS484
T713 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS483
T717 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS478
T721 PH0.39 LV0.00 AV0.00 CU-132.00 FA0 FB0 PS479
T726 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS483
T731 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS483
T735 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS479
T739 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS477
T743 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS480
T747 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS486
T752 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS484
T756 PH0.39 LV0.00 AV0.00 CU-132.00 FA0 FB0 PS479
T760 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS478
T764 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS482
T770 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS484
T774 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS481
T778 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS477
T782 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS479
T787 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS485
T791 PH0.39 LV0.00 AV0.00 CU-138.00 FA0 FB0 PS484
T795 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS479
T799 PH0.39 LV0.00 AV0.00 CU-132.00 FA0 FB0 PS477
T804 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS480
T808 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS484
T813 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS483
T817 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS477
T821 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS479
T826 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS484
T830 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS484
T834 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS480
T838 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS476
T843 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS478
T847 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS484
T851 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS483
T856 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS478
T861 PH0.39 LV0.00 AV0.00 CU-138.00 FA0 FB0 PS478
T865 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS481
T869 PH0.79 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS483
T873 PH0.79 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS481
T878 PH0.79 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS475
T882 PH0.79 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS477
T886 PH0.79 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS484
T890 PH0.79 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS484
T894 PH0.79 LV0.00 AV0.00 CU-150.00 FA0 FB0 PS480
T900 PH0.79 LV0.00 AV0.00 CU-144.00 FA0 FB0 PS476
T904 PH0.79 LV0.00 AV0.00 CU-132.00 FA0 FB0 PS478
T908 PH0.79 LV0.00 AV0.00 CU-132.00 FA0 FB0 PS482
T912 PH0.79 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS480
T917 PH0.79 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS475
T921 PH0.79 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS477
T925 PH0.79 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS482
T929 PH0.79 LV0.00 AV0.00 CU-156.00 FA0 FB0 PS484
T934 PH0.79 LV0.00 AV0.00 CU-138.00 FA0 FB0 PS480
T939 PH0.79 LV0.00 AV0.00 CU-138.00 FA0 FB0 PS475
T943 PH0.79 LV0.00 AV0.00 CU-132.00 FA0 FB0 PS476
T947 PH0.79 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS482
T951 PH0.79 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS482
T956 PH0.79 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS478
T960 PH0.79 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS477
T964 PH0.79 LV0.00 AV0.00 CU-156.00 FA0 FB0 PS481
T968 PH0.79 LV0.00 AV0.00 CU-138.00 FA0 FB0 PS483
T973 PH0.79 LV0.00 AV0.00 CU-138.00 FA0 FB0 PS480
