8219 0.09 100.00 1 0 0.00 0.00 1.18  0.00 0.01  1.00
8283 0.09 100.00 1 0 0.00 0.00 1.17  0.00 0.01  1.00
8345 0.09 100.00 1 0 0.00 0.00 1.16  0.00 0.01  1.00
8409 0.09 100.00 1 0 0.00 0.00 1.15  0.00 0.01  1.00
8472 0.09 100.00 1 0 0.00 0.00 1.17  0.00 0.01  1.00
8536 0.09 100.00 1 0 0.00 0.00 1.18  0.00 0.01  1.00
8599 0.09 100.00 1 0 0.00 0.00 1.18  0.00 0.01  1.00
8663 0.09 100.00 1 0 0.00 0.00 1.17  0.00 0.01  1.00
8726 0.09 100.00 1 0 0.00 0.00 1.17  0.00 0.01  1.00
8790 0.09 100.00 1 0 0.00 0.00 1.16  0.00 0.01  1.00
8853 0.09 100.00 1 0 0.00 0.00 1.17  0.00 0.01  1.00
8916 0.09 100.00 1 0 0.00 0.00 1.18  0.00 0.01  1.00
8980 0.09 100.00 1 0 0.00 0.00 1.18  0.00 0.01  1.00
9043 0.09 100.00 1 0 0.00 0.00 1.17  0.00 0.01  1.00
9107 0.09 100.00 1 0 0.00 0.00 1.16  0.00 0.01  1.00
9170 0.09 100.00 1 0 0.00 0.00 1.16  0.00 0.01  1.00
9234 0.11 100.00 1 0 0.00 0.00 1.16  0.00 0.01  1.00
9297 0.11 100.00 1 0 0.00 0.00 1.18  0.00 0.01  1.00
9361 0.11 100.00 1 0 0.00 0.00 1.18  0.00 0.01  1.00
9424 0.11 100.00 1 0 0.00 0.00 1.16  0.00 0.01  1.00
9488 0.11 100.00 1 0 0.00 0.00 1.15  0.00 0.01  1.00
9551 0.11 100.00 1 0 0.00 0.00 1.16  0.00 0.01  1.00
9615 0.11 100.00 1 0 0.00 0.00 1.16  0.00 0.01  1.00
9677 0.11 100.00 1 0 0.00 0.00 1.18  0.00 0.01  1.00
9741 0.11 100.00 1 0 0.00 0.00 1.16  0.00 0.01  1.00
9804 0.11 100.00 1 0 0.00 0.00 1.15  0.00 0.01  1.00
9869 0.11 100.00 0 9868 0.01 0.01 1.15  9900.99 0.01  1.00
9937 0.11 100.00 0 9868 0.01 0.01 1.18  9900.99 0.01  1.00
10007 0.11 100.00 0 9868 0.01 0.01 1.16  9900.99 0.01  1.00
10078 0.11 100.00 0 9868 0.01 0.01 1.18  9900.99 0.01  1.00
10149 0.11 100.00 0 9868 0.01 0.01 1.16  9900.99 0.01  1.00
10220 0.11 100.00 0 9868 0.01 0.01 1.18  9900.99 0.01  1.00
10291 0.11 100.00 0 9868 0.01 0.01 1.15  9900.99 0.01  1.00
10361 0.11 100.00 0 9868 0.01 0.01 1.18  9900.99 0.01  1.00
10432 0.11 100.00 0 9868 0.01 0.01 1.16  9900.99 0.01  1.00
10503 0.11 100.00 0 9868 0.01 0.01 1.18  9900.99 0.01  1.00
10573 0.11 100.00 0 9868 0.01 0.01 1.16  9900.99 0.01  1.00
10644 0.13 100.00 0 9868 0.01 0.01 1.17  9900.99 0.01  1.00
10715 0.13 100.00 0 9868 0.01 0.01 1.16  9900.99 0.01  1.00
10785 0.13 100.00 0 9868 0.01 0.01 1.17  9900.99 0.01  1.00
10856 0.13 100.00 0 9868 0.01 0.01 1.17  9900.99 0.01  1.00
10927 0.13 100.00 0 9868 0.01 0.01 1.17  9900.99 0.01  1.00
10997 0.13 100.00 0 9868 0.01 0.01 1.17  9900.99 0.01  1.00
11068 0.13 100.00 0 9868 0.01 0.01 1.15  9900.99 0.01  1.00
11139 0.13 100.00 1 9868 0.01 0.01 1.18  9900.99 0.01  1.00
11209 0.13 100.00 1 9868 0.01 0.01 1.16  9900.99 0.01  1.00
11281 0.13 100.00 1 9868 0.01 0.01 1.18  9900.99 0.01  1.00
